,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
200,CORONAVIRUS IN DEUTSCHLAND: Spahn will wegen Covid-19 alle Großveranstaltungen absagen,150000,WELT Nachrichtensender,24,267,https://www.youtube.com/watch?v=wPtl4i26OAY,407000,1376,250,coronavirus deutschland spahn wegen covid alle groveranstaltungen absagen
201,Nurses pay a heavy price as China fights coronavirus epidemic,395000,Al Jazeera English,336,111,https://www.youtube.com/watch?v=MbpYBSpCjjU,4690000,3856,221,nurse pay heavy price china fight coronavirus epidemic
202,Over 100 Coronavirus Cases Confirmed In US; More Deaths In Washington State | TODAY,684000,TODAY,144,182,https://www.youtube.com/watch?v=YE6alcjmUfs,1770000,6434,719,coronavirus case confirmed u death washington state today
203,Coronavirus: Worst-hit countries boost containment efforts - BBC News,721000,BBC News,168,593,https://www.youtube.com/watch?v=LBXhjlxLnhQ,6530000,5280,564,coronavirus worsthit country boost containment effort bbc news
204,"Coronavirus claims first lives in US, Australia, Thailand | DW News",185000,DW News,168,286,https://www.youtube.com/watch?v=a91_dTaJf2o,1060000,1876,109,coronavirus claim first life u australia thailand dw news
205,Global effort to contain the coronavirus,1300000,ABC News,720,243,https://www.youtube.com/watch?v=kkSmm7NdHn0,7860000,12610,713,global effort contain coronavirus
206,"Coronavirus: Iran's deaths at least 210, hospital sources say - BBC News",717000,BBC News,168,235,https://www.youtube.com/watch?v=mPAh2iCOUJc,6530000,5200,336,coronavirus iran death least hospital source say bbc news
207,CORONAVIRUS IN DEUTSCHLAND: Erster Deutscher nachweislich an Covid-19 gestorben,102000,WELT Nachrichtensender,24,136,https://www.youtube.com/watch?v=tPbQ6oeIx50,407000,1113,138,coronavirus deutschland erster deutscher nachweislich covid gestorben
208,Coronavirus death toll rises in U.S.,337000,CBS Evening News,168,210,https://www.youtube.com/watch?v=235_Li3_3oM,692000,2691,427,coronavirus death toll rise u
209,Coronavirus has spread to nearly 30 countries,510000,ABC News,336,311,https://www.youtube.com/watch?v=lSAm6XzIFyQ,7860000,4611,262,coronavirus spread nearly country
210,Latest details into Coronavirus and China l ABC News,538000,ABC News,720,435,https://www.youtube.com/watch?v=CuQYAR_PdPQ,7860000,3282,391,latest detail coronavirus china l abc news
211,"Trump Calls Criticism of His Coronavirus Response a ""Hoax"" as Concerns Grow: A Closer Look",2500000,Late Night with Seth Meyers,168,605,https://www.youtube.com/watch?v=7mgZ5xk1g1M,3480000,34453,1238,trump call criticism coronavirus response hoax concern grow closer look
212,Just how contagious is the coronavirus?,335000,CNBC Television,504,344,https://www.youtube.com/watch?v=iSbZ9EkZpyg,430000,2451,325,contagious coronavirus
213,WELT HINTERGRUND: Coronavirus in Deutschland - Wann muss ich in Covid-19-Quarantäne,87000,WELT Nachrichtensender,96,434,https://www.youtube.com/watch?v=9GSEuXkfwj8,407000,431,247,welt hintergrund coronavirus deutschland wann mus ich covidquarantne
214,Coronavirus explained: Where it came from and how to stop it | DW News,603000,DW News,720,202,https://www.youtube.com/watch?v=AYlzyQnSGD8,1060000,4180,398,coronavirus explained came stop dw news
215,Epidemiologist predicts effects of coronavirus in the months ahead,1200000,CBS Evening News,168,380,https://www.youtube.com/watch?v=iDelUkpFm60,692000,12508,1047,epidemiologist predicts effect coronavirus month ahead
216,Coronavirus: Is This How We Die? | The Daily Show,4200000,The Daily Show with Trevor Noah,168,528,https://www.youtube.com/watch?v=uEmUJcHysds,6520000,81510,4023,coronavirus die daily show
217,Coronavirus: Aumentan los números del virus en EE.UU. | Al Rojo Vivo | Telemundo,307000,Al Rojo Vivo,120,349,https://www.youtube.com/watch?v=v-1MEJ8D1-k,2570000,4606,224,coronavirus aumentan los nmeros del virus en eeuu al rojo vivo telemundo
218,Coronavirus spreads to every continent except Antarctica,163000,CNN,168,431,https://www.youtube.com/watch?v=4w2MCjIDJ3Q,8710000,1117,217,coronavirus spread every continent except antarctica
219,El coronavirus chino explicado por un virólogo,2800000,UBUinvestiga,720,945,https://www.youtube.com/watch?v=AhJpNEfIFYo,23300,32706,3202,el coronavirus chino explicado por un virlogo
220,"American teacher documents life in Wuhan, center of coronavirus | USA TODAY",915000,USA TODAY,720,194,https://www.youtube.com/watch?v=7cLmOibP49o,1360000,9747,950,american teacher document life wuhan center coronavirus usa today
221,Coronavirus: How the deadly epidemic sparked a global emergency | Four Corners,6100000,ABC News In-depth,336,165120,https://www.youtube.com/watch?v=ycrqXJYf1SU,194000,44194,4038,coronavirus deadly epidemic sparked global emergency four corner
222,Chinese scientists says COVID-19/coronavirus could have originated from government ...,3500000,ARIRANG NEWS,504,121,https://www.youtube.com/watch?v=ZC0gww2yznI,276000,12926,1443,chinese scientist say covidcoronavirus could originated government
223,CORONAVIRUS IN EUROPA: Sperrzone - Die Lage in Italien spitzt sich dramatisch zu,108000,WELT Nachrichtensender,48,104400,https://www.youtube.com/watch?v=UqcyEdMyAvM,407000,669,324,coronavirus europa sperrzone die lage italien spitzt sich dramatisch zu
224,New US coronavirus case puts officials on high alert l ABC News,654000,ABC News,168,184,https://www.youtube.com/watch?v=YRIdgTx5zPU,7860000,5676,531,new u coronavirus case put official high alert l abc news
